Workload|iterations|run-time|cpu-cycles|instructions|ref-cycles|page-faults|branches|branch-misses|LLC-load-misses|L1-dcache-load-misses|cache-misses
------------------------------------------------------------------------------------------------------------------------------------------
 
adpcm | 10 | 0.005607891 | 17995541 | 18359699 | 12329408 | 132081 | 3358352 | 95741 | 8029 | 288429 | 132081
adpcm | 20 | 0.008435155 | 31861906 | 34421134 | 18772728 | 156107 | 6275558 | 160613 | 7436 | 539222 | 156107
adpcm | 30 | 0.011240926 | 44688357 | 50659005 | 26599040 | 201386 | 9199067 | 220454 | 7835 | 813233 | 201386
adpcm | 40 | 0.014878221 | 59493373 | 65994058 | 34835424 | 238936 | 11988341 | 266216 | 9290 | 1066777 | 238936
adpcm | 50 | 0.01795609 | 73664726 | 81033487 | 43708184 | 268542 | 14689974 | 292821 | 9316 | 1311759 | 268542
adpcm | 60 | 0.02220768 | 89582068 | 97834797 | 52979264 | 349950 | 17782067 | 395378 | 12469 | 1632735 | 349950
adpcm | 70 | 0.025049486 | 101247774 | 114120973 | 60672456 | 388751 | 20709192 | 429824 | 12478 | 1872061 | 388751
adpcm | 80 | 0.02788321 | 113574842 | 129429738 | 67101320 | 379109 | 23494034 | 468716 | 12799 | 2072624 | 379109
adpcm | 90 | 0.03172705 | 129289703 | 144231612 | 76631880 | 467769 | 26098281 | 533846 | 14053 | 2381353 | 467769
adpcm | 100 | 0.034212513 | 141810659 | 161344559 | 84092008 | 479429 | 29263158 | 592316 | 14510 | 2689734 | 479429
adpcm | 110 | 0.03803933 | 156973399 | 176232503 | 93089984 | 610439 | 31948701 | 648799 | 19496 | 2875720 | 610439
adpcm | 120 | 0.041725381 | 172312463 | 193026295 | 102182600 | 558418 | 35027904 | 690916 | 16190 | 3194028 | 558418
adpcm | 130 | 0.044833682 | 182570416 | 209597039 | 108098952 | 625951 | 37996275 | 794389 | 17806 | 3396900 | 625951
adpcm | 140 | 0.053435843 | 222158054 | 223841914 | 132012920 | 1328690 | 40510948 | 775264 | 73918 | 3875022 | 1328690
adpcm | 150 | 0.051883026 | 215052189 | 237679761 | 127461880 | 871897 | 43017117 | 896781 | 26083 | 4018067 | 871897
adpcm | 160 | 0.057354661 | 239626616 | 257112921 | 142198576 | 1301931 | 46595476 | 1011883 | 56467 | 4343479 | 1301931
adpcm | 170 | 0.062597954 | 261502276 | 272288684 | 155218128 | 1423345 | 49365354 | 997091 | 71103 | 4596259 | 1423345
adpcm | 180 | 0.063836089 | 268395469 | 288613650 | 159722888 | 1402320 | 52303454 | 1041723 | 59775 | 4885651 | 1402320
adpcm | 190 | 0.069800351 | 291723435 | 302360623 | 173885504 | 1788185 | 54772793 | 1128660 | 89828 | 5119786 | 1788185
adpcm | 200 | 0.070819896 | 291900658 | 317672498 | 173556552 | 1515284 | 57535478 | 1161502 | 65103 | 5383436 | 1515284
adpcm | 210 | 0.0760071 | 317229555 | 338844630 | 188731608 | 1751685 | 61334979 | 1291228 | 81209 | 5675990 | 1751685
adpcm | 220 | 0.07962473 | 334393338 | 355302059 | 199111016 | 2003538 | 64347447 | 1255309 | 93519 | 5969479 | 2003538
